event_type,event_cause,latitude,longitude,corridor,zone,police_station,junction,priority,requires_road_closure,vehicle_type,start_datetime,end_datetime
Vehicle Breakdown,Breakdown,12.9823952,77.5934195,CBD 2,Central Zone,Cubbon Park Traffic PS,PoliceTimmaiahCircle(GPO),High,False,Bus,2024-01-01 06:19:09,2024-01-01 07:11:14
Vehicle Breakdown,Breakdown,12.9664629,77.6079133,Mysore Road,Central Zone,Ashok Nagar Traffic PS,MotherTeressaCircle,High,False,Bus,2024-01-01 06:29:03,2024-01-01 06:43:04
Vehicle Breakdown,Breakdown,13.0298049,77.5380274,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,GokuldasImagesJunc,High,False,Bus,2024-01-01 07:40:00,2024-01-01 08:01:50
Vehicle Breakdown,Breakdown,12.9541233,77.5438833,Mysore Road,West Zone,Byatarayanapura Traffic PS,SatteliteBusStandJunc,High,False,Truck,2024-01-02 02:26:47,2024-01-02 02:58:51
Other,Other,12.9217342,77.580465,Other Corridor,South Zone,Jayanagara Traffic PS,"Jayanagar 4th main,36th cross",Low,False,None,2024-01-01 21:22:56,2024-01-02 01:32:32
Vehicle Breakdown,Breakdown,12.9760128,77.5645174,Magadi Road,Central Zone,Magadi Road Traffic PS,LeprosyhospitalJunc,High,False,Other,2024-01-01 23:03:04,2024-01-01 23:15:33
Vehicle Breakdown,Breakdown,12.9877553,77.520629,Magadi Road,West Zone,Kamakshipalya Traffic PS,Sumanhalli,High,False,Bus,2024-01-02 00:14:45,2024-01-02 02:06:36
Vehicle Breakdown,Breakdown,12.9869466,77.5191472,Magadi Road,West Zone,Kamakshipalya Traffic PS,Sumanhalli,High,False,Truck,2024-01-02 01:05:29,2024-01-02 01:35:45
Vehicle Breakdown,Breakdown,12.9826741,77.5679644,Other Corridor,Central Zone,Sheshadripuram Traffic PS,RRR(Okalipuram)Junction,Low,False,Truck,2024-01-02 02:33:14,2024-01-02 03:43:03
Vehicle Breakdown,Breakdown,12.9725137,77.5817252,Other Corridor,Central Zone,Halasuru Gate Traffic PS,StateBankofMysoreJunc,Low,False,Bus,2024-01-02 06:13:44,2024-01-02 06:56:08
Vehicle Breakdown,Breakdown,12.9247699,77.5508489,ORR West 1,West Zone,Banashankari Traffic PS,KatriguppeJunction,High,False,Truck,2024-01-02 07:16:02,2024-01-02 07:54:20
Vehicle Breakdown,Breakdown,12.9256633,77.617345,Hosur Road,South Zone,Madiwala Traffic PS,AyyappaTempleJunc,High,False,LCV,2024-01-02 19:06:04,2024-01-02 19:55:31
Vehicle Breakdown,Breakdown,13.0991774,77.5973094,Bellary Road 2,North Zone,Yelahanka Traffic PS,SantheCircle,Critical,True,Bus,2024-01-02 23:08:09,2024-01-03 00:17:22
Vehicle Breakdown,Breakdown,12.9933885,77.574254,Other Corridor,Central Zone,Sheshadripuram Traffic PS,LinkRoadMalleswaramJunc,Low,False,Other,2024-01-02 23:27:19,2024-01-02 23:58:12
Vehicle Breakdown,Breakdown,13.0288242,77.6313872,Airport New South Road,North Zone,K.G. Halli Traffic PS,HennurRoad-ORR Junc,High,False,Truck,2024-01-03 02:05:37,2024-01-03 03:52:45
Vehicle Breakdown,Breakdown,12.9539526,77.500882,Other Corridor,West Zone,Jnanabharathi Traffic PS,RingRoad-UllalJunction,Low,False,Bus,2024-01-03 05:18:46,2024-01-03 06:11:40
Vehicle Breakdown,Breakdown,12.9733973,77.6111281,Old Madras Road,Central Zone,Ashok Nagar Traffic PS,MayohallJunction,High,False,Bus,2024-01-03 05:27:42,2024-01-03 06:32:50
Vehicle Breakdown,Breakdown,12.9840518,77.5747623,Other Corridor,Central Zone,Sheshadripuram Traffic PS,KrishnaFlourMill,Low,False,Bus,2024-01-03 06:09:28,2024-01-03 06:47:01
Vehicle Breakdown,Breakdown,12.93285285,77.51630304,Other Corridor,West Zone,Kengeri Traffic PS,RajeshwariJunc,Low,False,Bus,2024-01-03 06:15:42,2024-01-03 07:23:22
Vehicle Breakdown,Breakdown,12.9344827,77.6296614,Other Corridor,South Zone,Adugodi Traffic PS,MaharajaJunction,Low,False,Bus,2024-01-04 21:31:36,2024-01-04 22:05:05
Vehicle Breakdown,Breakdown,12.9560905,77.6056897,Hosur Road,Central Zone,Ashok Nagar Traffic PS,CMP GateJunc,Critical,True,Truck,2024-01-03 06:21:44,2024-01-03 08:15:19
Protest,Protest,12.9666312,77.6094453,Mysore Road,Central Zone,Ashok Nagar Traffic PS,MotherTeressaCircle,High,False,None,2024-01-03 07:56:22,2024-01-03 07:57:46
Vehicle Breakdown,Breakdown,12.9574145,77.5522863,Mysore Road,Central Zone,Chamarajpet Traffic PS,toll gate mysore road,High,False,Truck,2024-01-03 20:08:46,2024-01-03 21:23:57
Vehicle Breakdown,Breakdown,12.9531804,77.5416369,Mysore Road,West Zone,Byatarayanapura Traffic PS,SatteliteBusStandJunc,High,False,Bus,2024-01-03 20:24:39,2024-01-03 20:45:41
Road Repair,Road Conditions,12.90708248,77.54605802,Other Corridor,South Zone,K.S. Layout Traffic PS,UttarahalliJunction,Low,False,None,2024-01-03 21:08:03,2024-01-04 09:25:57
Other,Other,12.9603888,77.606344,Hosur Road,Central Zone,Ashok Nagar Traffic PS,CMP GateJunc,High,False,None,2024-01-03 21:29:16,2024-01-04 06:04:05
Vehicle Breakdown,Breakdown,13.0292598,77.5365019,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,GokuldasImagesJunc,High,False,Bus,2024-01-04 02:22:01,2024-01-04 03:50:29
Vehicle Breakdown,Breakdown,12.9586094,77.5932265,Other Corridor,Central Zone,Halasuru Gate Traffic PS,BMTCJunction-K H Road,Low,False,Bus,2024-01-04 05:22:49,2024-01-04 05:48:12
Vehicle Breakdown,Breakdown,12.9802583,77.5726617,Other Corridor,Central Zone,Upparpet Traffic PS,KhodaysCircle(DV UrsCircle),Low,False,Bus,2024-01-04 05:55:52,2024-01-04 08:27:57
Vehicle Breakdown,Breakdown,12.9613113,77.5614505,Mysore Road,Central Zone,Chamarajpet Traffic PS,SirsiCircle,High,False,Bus,2024-01-04 06:37:12,2024-01-04 06:43:45
Other,Other,12.9754498,77.5756935,Other Corridor,Central Zone,Upparpet Traffic PS,EliteJunc,Low,False,None,2024-01-04 20:13:14,2024-01-04 21:02:29
Protest,Public Event,12.9688074,77.5679985,Other Corridor,Central Zone,Chamarajpet Traffic PS,BinnyMillJunction,Medium,True,None,2024-01-04 21:06:15,2024-01-04 23:05:46
Vehicle Breakdown,Breakdown,13.0436448,77.5092261,Tumkur Road,West Zone,Peenya Traffic PS,HesaraghattaJunction,High,False,Truck,2024-01-04 21:44:28,2024-01-04 22:23:29
Other,Other,12.9961133,77.596,Other Corridor,Central Zone,R.T. Nagar Traffic PS,ChaudrayaCircle/UdayaTVCircle(CantonmentJunc),Low,False,None,2024-01-04 22:09:42,2024-01-04 22:58:29
Vehicle Breakdown,Breakdown,13.01479,77.5637517,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,TataInstituteCircle,High,False,Bus,2024-01-04 23:06:47,2024-01-05 00:31:14
Vehicle Breakdown,Breakdown,12.9638691,77.5846174,Mysore Road,Central Zone,Halasuru Gate Traffic PS,TownhallJunction,Critical,True,Bus,2024-01-04 23:17:35,2024-01-04 23:30:23
Vehicle Breakdown,Breakdown,12.9749058,77.565832,Magadi Road,Central Zone,Magadi Road Traffic PS,LeprosyhospitalJunc,High,False,Bus,2024-01-04 23:57:43,2024-01-05 01:36:19
Vehicle Breakdown,Breakdown,12.977485,77.590915,Other Corridor,Central Zone,Cubbon Park Traffic PS,GopalGowdaJUnc,Low,False,Bus,2024-01-05 02:44:31,2024-01-05 03:48:34
Other,Other,12.9758546,77.5746967,Other Corridor,Central Zone,Upparpet Traffic PS,EliteJunc,Low,False,None,2024-01-05 06:17:15,2024-01-05 08:33:35
Vehicle Breakdown,Breakdown,13.1020634,77.5863894,Other Corridor,North Zone,Yelahanka Traffic PS,SandeepUnnikrishnan-Yelhanka,Low,False,Bus,2024-01-05 07:32:42,2024-01-05 07:53:02
Other,Other,12.9526205,77.5414274,Mysore Road,West Zone,Byatarayanapura Traffic PS,SatteliteBusStandJunc,High,False,None,2024-01-05 08:42:20,2024-01-06 01:31:20
Vehicle Breakdown,Breakdown,12.9251594,77.5502933,ORR West 1,West Zone,Banashankari Traffic PS,KatriguppeJunction,High,False,LCV,2024-01-05 08:46:07,2024-01-05 09:44:44
Vehicle Breakdown,Breakdown,13.0217114,77.5515223,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,TumkurRdMarappanapalyaJunc,High,False,Other,2024-01-05 20:06:40,2024-01-05 20:16:47
Vehicle Breakdown,Breakdown,12.9932732,77.5714333,Other Corridor,Central Zone,Sheshadripuram Traffic PS,MillCornerRd-SampigeRdJunc,Low,False,Bus,2024-01-05 23:57:19,2024-01-06 01:51:04
Vehicle Breakdown,Breakdown,13.0177861,77.5555791,ORR North 1,West Zone,Banaswadi Traffic PS,YeshwanthpuraCircle,High,False,Bus,2024-01-06 02:10:42,2024-01-06 02:41:53
Vehicle Breakdown,Breakdown,12.9357695,77.5134563,Mysore Road,West Zone,Jnanabharathi Traffic PS,UniversityJunc(Janabharti),High,False,Bus,2024-01-06 02:24:11,2024-01-06 02:43:28
Vehicle Breakdown,Breakdown,13.0850037,77.5944742,Bellary Road 2,North Zone,Yelahanka Traffic PS,YelhankaBypass,High,False,Truck,2024-01-06 05:26:19,2024-01-06 06:39:55
Vehicle Breakdown,Breakdown,13.080204,77.5924959,Bellary Road 2,North Zone,Yelahanka Traffic PS,YelhankaBypass,High,False,Car,2024-01-06 06:39:55,2024-01-06 07:58:04
Vehicle Breakdown,Breakdown,12.9730421,77.5811612,Other Corridor,Central Zone,Upparpet Traffic PS,StateBankofMysoreJunc,Low,False,Car,2024-01-06 08:37:02,2024-01-06 09:01:46
Vehicle Breakdown,Breakdown,12.9576689,77.5530492,Mysore Road,Central Zone,Chamarajpet Traffic PS,toll gate mysore road,High,False,Truck,2024-01-06 09:03:12,2024-01-06 09:26:00
Vehicle Breakdown,Breakdown,13.0083753,77.6925957,Other Corridor,East Zone,K.R. Pura Traffic PS,Devasandra(k r puram),Medium,True,Car,2024-01-06 19:25:46,2024-01-06 19:57:48
Vehicle Breakdown,Breakdown,13.0933167,77.5970884,Bellary Road 2,North Zone,Yelahanka Traffic PS,YelhankaCircle,High,False,LCV,2024-01-06 20:32:24,2024-01-06 22:20:43
Vehicle Breakdown,Breakdown,13.0933004,77.5970311,Bellary Road 2,North Zone,Yelahanka Traffic PS,YelhankaCircle,High,False,Truck,2024-01-06 20:49:09,2024-01-06 22:29:07
Vehicle Breakdown,Breakdown,12.9114476,77.5858614,Other Corridor,South Zone,J.P. Nagar Traffic PS,JP Nagar 9th cross-24th main jn,Low,False,Bus,2024-01-06 22:09:29,2024-01-07 00:03:37
Other,Other,13.094135,77.5973271,Bellary Road 2,North Zone,Yelahanka Traffic PS,YelhankaCircle,High,False,None,2024-01-06 22:20:46,2024-01-07 06:51:43
Other,Other,13.014608,77.5840855,Bellary Road 1,North Zone,Sadashivanagar Traffic PS,MekhriCircle,High,False,None,2024-01-06 23:30:52,2024-01-06 23:41:09
Road Repair,Construction,12.9314883,77.62259614,IRR(Thanisandra road),South Zone,Adugodi Traffic PS,BDA Junctio-Koramangala,Critical,True,None,2024-01-07 00:29:30,2024-01-07 02:05:46
Vehicle Breakdown,Breakdown,12.9678355,77.5873773,Mysore Road,Central Zone,Halasuru Gate Traffic PS,PoliceCornerJunc,High,False,Bus,2024-01-07 00:58:20,2024-01-07 01:16:30
Accident,Accident,12.921751,77.6617091,ORR East 1,South Zone,Bellandur Traffic PS,IbblurJunction',High,False,None,2024-01-07 00:52:53,2024-01-07 01:27:05
Accident,Accident,12.9215257,77.661963,ORR East 1,South Zone,Bellandur Traffic PS,IbblurJunction',High,False,None,2024-01-07 00:51:04,2024-01-07 01:27:53
Vehicle Breakdown,Breakdown,12.9598114,77.5043572,Other Corridor,West Zone,Jnanabharathi Traffic PS,Ring road-Near Kengunte Junction,Low,False,Bus,2024-01-07 01:27:56,2024-01-07 02:07:39
Vehicle Breakdown,Breakdown,13.0426306,77.5908214,Bellary Road 1,North Zone,Hebbala Traffic PS,HebbalFlyoverJunc,High,False,Bus,2024-01-07 04:27:09,2024-01-07 04:52:18
Vehicle Breakdown,Breakdown,13.0566142,77.546737,Other Corridor,North Zone,Jalahalli Traffic PS,GangammagudiJunc,Low,False,Bus,2024-01-07 05:04:06,2024-01-07 05:48:05
Vehicle Breakdown,Breakdown,12.8890533,77.56386,Other Corridor,South Zone,Thalagattapura Traffic PS,KonanakunteJunction(KanakapurarRd),Low,False,Bus,2024-01-07 06:38:38,2024-01-07 07:13:38
Other,Other,12.97161519,77.60650878,Mysore Road,Central Zone,Ashok Nagar Traffic PS,OperaHouseJunc,Critical,True,None,2024-01-07 06:54:11,2024-01-07 20:13:48
Vehicle Breakdown,Breakdown,13.0933773,77.5956407,Bellary Road 2,North Zone,Yelahanka Traffic PS,YelhankaCircle,High,False,Car,2024-01-07 08:24:38,2024-01-07 08:34:26
Road Repair,Construction,13.0979016,77.5982923,Bellary Road 2,North Zone,Yelahanka Traffic PS,SantheCircle,Critical,True,None,2024-01-07 10:58:11,2024-01-07 19:05:26
Vehicle Breakdown,Breakdown,12.951396,77.5370097,West of Chord Road,West Zone,Byatarayanapura Traffic PS,KIMCO Junction,High,False,Other,2024-01-07 16:52:54,2024-01-07 18:26:31
Protest,Procession,12.936476,77.6064183,Other Corridor,South Zone,Mico Layout Traffic PS,Marigowda-TavarkereRdJunc,Low,False,None,2024-01-07 18:37:53,2024-01-07 18:50:46
Vehicle Breakdown,Breakdown,12.92542,77.6175917,Hosur Road,South Zone,Madiwala Traffic PS,AyyappaTempleJunc,High,False,Bus,2024-01-07 20:18:55,2024-01-07 20:51:53
Road Repair,Construction,12.9166569,77.6099531,Other Corridor,South Zone,Mico Layout Traffic PS,BTM16thMain-ORR Junc,Low,False,None,2024-01-07 23:24:52,2024-01-08 00:34:46
Vehicle Breakdown,Breakdown,13.0157986,77.5539989,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,TumkurRdMarappanapalyaJunc,High,False,Bus,2024-01-08 02:30:53,2024-01-08 02:50:37
Other,Other,13.0102588,77.6980801,Other Corridor,East Zone,K.R. Pura Traffic PS,Devasandra(k r puram),Low,False,None,2024-01-08 04:48:41,2024-01-08 08:01:19
Vehicle Breakdown,Breakdown,12.9755237,77.5872875,Other Corridor,Central Zone,Halasuru Gate Traffic PS,K R Circle,Low,False,Bus,2024-01-08 06:43:49,2024-01-08 08:12:35
Vehicle Breakdown,Breakdown,12.9506387,77.4988418,Other Corridor,West Zone,Jnanabharathi Traffic PS,RingRoad-UllalJunction,Low,False,Bus,2024-01-08 20:10:03,2024-01-08 20:55:01
Vehicle Breakdown,Breakdown,12.9215181,77.560083,ORR West 1,South Zone,Banashankari Traffic PS,DevegowdaPetrolBunkJunc,High,False,Bus,2024-01-08 21:13:04,2024-01-08 22:45:22
Vehicle Breakdown,Breakdown,12.9284666,77.5458777,ORR West 1,West Zone,Banashankari Traffic PS,ItmaduJunction,High,False,LCV,2024-01-08 21:27:11,2024-01-08 21:40:12
Road Repair,Construction,12.9742764,77.6106961,Old Madras Road,Central Zone,Ashok Nagar Traffic PS,MayohallJunction,High,False,None,2024-01-08 23:28:12,2024-01-08 23:57:01
Vehicle Breakdown,Breakdown,12.9576748,77.5031956,Other Corridor,West Zone,Jnanabharathi Traffic PS,Ring road-Near Kengunte Junction,Low,False,Bus,2024-01-09 03:28:48,2024-01-09 04:45:57
Vehicle Breakdown,Breakdown,12.9746483,77.5702833,Other Corridor,Central Zone,Chamarajpet Traffic PS,ShantalaJunction,Low,False,Bus,2024-01-09 03:42:24,2024-01-09 04:26:59
Vehicle Breakdown,Breakdown,12.9166554,77.6017984,Bannerghata Road,South Zone,Mico Layout Traffic PS,JayadevaHospitalJunc,High,False,Other,2024-01-09 06:11:44,2024-01-09 07:23:39
Accident,Accident,12.9840929,77.6412627,Old Madras Road,Central Zone,Jeevanbheemanagar Traffic PS,OldMadrasRd-Indranagar100ftRdJunc,High,False,None,2024-01-09 06:14:59,2024-01-09 07:20:25
Vehicle Breakdown,Breakdown,13.018784,77.7076166,Other Corridor,East Zone,K.R. Pura Traffic PS,TC Palya-OM RoadJunc,Medium,True,Other,2024-01-09 06:17:44,2024-01-09 06:32:59
Other,Other,12.9454392,77.5963449,Other Corridor,Central Zone,Wilson Garden Traffic PS,WilsonGarden12thCrossJunc,Low,False,None,2024-01-09 07:05:18,2024-01-09 07:24:36
Vehicle Breakdown,Breakdown,12.9833718,77.6405569,Old Madras Road,Central Zone,Jeevanbheemanagar Traffic PS,OldMadrasRd-Indranagar100ftRdJunc,High,False,Other,2024-01-09 07:14:23,2024-01-09 07:32:54
Vehicle Breakdown,Breakdown,12.9789875,77.6031384,Old Madras Road,Central Zone,Shivajinagar Traffic PS,Shivajinagar(BRV)Junction,High,False,Bus,2024-01-09 09:07:53,2024-01-09 09:38:34
Vehicle Breakdown,Breakdown,12.8562547,77.6647587,Other Corridor,South-East Zone,Electronic City Traffic PS,ElectronicCityGate-2Junc,Low,False,Truck,2024-01-09 17:34:20,2024-01-09 18:19:41
Other,Other,12.9368035,77.5173112,Mysore Road,West Zone,Byatarayanapura Traffic PS,RajeshwariJunc,High,False,None,2024-01-09 19:57:30,2024-01-09 22:49:48
Vehicle Breakdown,Breakdown,13.0315132,77.535623,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,GokuldasImagesJunc,High,False,Truck,2024-01-09 20:31:37,2024-01-09 20:48:55
Vehicle Breakdown,Breakdown,12.9160149,77.5650786,ORR West 1,South Zone,Banashankari Traffic PS,KadirenahalliJunction,High,False,Truck,2024-01-09 21:13:53,2024-01-09 23:07:01
Road Repair,Construction,13.0419465,77.6119078,ORR North 1,North Zone,K.G. Halli Traffic PS,"VeerannapalyaJunction(BEL,HO)",Critical,True,None,2024-01-09 21:34:43,2024-01-10 18:34:46
Vehicle Breakdown,Breakdown,13.0187009,77.5584531,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,YeshwanthpuraCircle,High,False,LCV,2024-01-10 03:21:20,2024-01-10 03:52:23
Vehicle Breakdown,Breakdown,13.1216737,77.6108741,Bellary Road 2,North Zone,Yelahanka Traffic PS,BagalurCrossJunc,High,False,Truck,2024-01-10 03:50:08,2024-01-10 04:32:58
Vehicle Breakdown,Breakdown,13.0959687,77.5951418,Bellary Road 2,North Zone,Yelahanka Traffic PS,YelhankaCircle,High,False,Bus,2024-01-10 05:20:33,2024-01-10 06:05:13
Vehicle Breakdown,Breakdown,12.9841979,77.6424961,Old Madras Road,Central Zone,Jeevanbheemanagar Traffic PS,OldMadrasRd-Indranagar100ftRdJunc,High,False,Bus,2024-01-10 07:14:53,2024-01-10 07:27:14
Vehicle Breakdown,Breakdown,12.925018,77.6177729,Hosur Road,South Zone,Madiwala Traffic PS,AyyappaTempleJunc,High,False,Bus,2024-01-10 08:19:02,2024-01-10 09:05:36
Road Repair,Construction,12.9635623,77.5767354,Mysore Road,Central Zone,City Market Traffic PS,K R MarketJunction,Critical,True,None,2024-01-10 11:27:01,2024-01-10 18:35:48
Vehicle Breakdown,Breakdown,12.9955903,77.6166919,Other Corridor,North Zone,Pulikeshinagar(F.Town) Traffic PS,SindhiColonyJunction,Low,False,Bus,2024-01-10 19:27:08,2024-01-10 20:15:51
Vehicle Breakdown,Breakdown,12.9747138,77.5487765,West of Chord Road,West Zone,Magadi Road Traffic PS,MC Circle,High,False,Bus,2024-01-10 19:31:07,2024-01-10 19:56:09
Road Repair,Construction,13.0422521,77.6135108,ORR North 1,North Zone,Hebbala Traffic PS,"VeerannapalyaJunction(BEL,HO)",High,False,None,2024-01-10 20:42:45,2024-01-10 20:51:46
Vehicle Breakdown,Breakdown,12.944295,77.603045,Other Corridor,South Zone,Adugodi Traffic PS,MICO Bande,Low,False,Bus,2024-01-11 05:46:39,2024-01-11 06:45:46
Waterlogging,Waterlogging,12.9747902,77.5705334,Other Corridor,Central Zone,Chamarajpet Traffic PS,ShantalaJunction,Low,False,None,2024-01-11 06:02:06,2024-01-11 06:39:10
Vehicle Breakdown,Breakdown,12.9453,77.527915,ORR West 1,West Zone,Byatarayanapura Traffic PS,MysoreRd-RingRdJunc(Nayandanahallii),High,False,Bus,2024-01-11 08:46:51,2024-01-11 09:04:03
Vehicle Breakdown,Breakdown,12.9764526,77.5990981,Old Madras Road,Central Zone,Cubbon Park Traffic PS,QueensStatueCircle,High,False,Bus,2024-01-11 19:23:39,2024-01-11 20:39:36
Vehicle Breakdown,Breakdown,12.9664358,77.6066593,Mysore Road,Central Zone,Ashok Nagar Traffic PS,Ashoknagar Junction(ShoolayCircle),Critical,True,Car,2024-01-11 23:26:26,2024-01-12 00:19:36
Road Repair,Potholes,13.0435583,77.5906217,Bellary Road 1,North Zone,Kodigehalli Traffic PS,HebbalFlyoverJunc,High,False,None,2024-01-12 01:28:29,2024-01-12 23:02:02
Vehicle Breakdown,Breakdown,12.967125,77.5873533,Mysore Road,Central Zone,Halasuru Gate Traffic PS,UlsoorGateJunc,High,False,LCV,2024-01-12 01:43:42,2024-01-12 02:33:42
Road Repair,Construction,13.0732666,77.5926118,Bellary Road 2,North Zone,Yelahanka Traffic PS,JakkurCrossJunction,High,False,None,2024-01-12 03:20:46,2024-01-12 05:34:46
Vehicle Breakdown,Breakdown,13.0263399,77.6366103,ORR North 1,North Zone,Banaswadi Traffic PS,Kammanahalli-RingRoadJunction,High,False,Bus,2024-01-12 04:53:12,2024-01-12 05:13:19
Vehicle Breakdown,Breakdown,12.9681339,77.6062498,Mysore Road,Central Zone,Ashok Nagar Traffic PS,OldPoliceStation-Ashoknagar,High,False,LCV,2024-01-12 04:55:38,2024-01-12 05:48:37
Vehicle Breakdown,Breakdown,12.9590877,77.57209,Other Corridor,Central Zone,V.V.Puram (C.Pet) Traffic PS,MintoJunction,Low,False,Bus,2024-01-12 04:56:13,2024-01-12 06:12:30
Vehicle Breakdown,Breakdown,13.0119756,77.5692386,Other Corridor,West Zone,Sadashivanagar Traffic PS,MargosaRd-18thCrossJunc,Low,False,Bus,2024-01-12 05:22:54,2024-01-12 06:07:49
Road Repair,Road Conditions,12.9679402,77.5926916,Mysore Road,Central Zone,Halasuru Gate Traffic PS,HudsonCircle,High,False,None,2024-01-12 20:09:40,2024-01-13 00:40:35
Accident,Accident,13.0950317,77.597495,Bellary Road 2,North Zone,Yelahanka Traffic PS,YelhankaCircle,High,False,None,2024-01-12 20:22:13,2024-01-12 20:54:32
Other,Other,13.14276,77.6177623,Bellary Road 2,North Zone,Chikkajala Traffic PS,HunsemarammanahalliJunction,High,False,None,2024-01-12 20:41:11,2024-01-12 23:34:59
Vehicle Breakdown,Breakdown,13.0298587,77.5370419,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,GokuldasImagesJunc,High,False,Truck,2024-01-12 21:54:10,2024-01-12 22:12:39
Vehicle Breakdown,Breakdown,12.9753275,77.6072089,Old Madras Road,Central Zone,Cubbon Park Traffic PS,Arts&CraftsCircle,High,False,Truck,2024-01-12 22:02:54,2024-01-12 22:12:06
Other,Other,12.9119888,77.4858462,Mysore Road,West Zone,Kengeri Traffic PS,MysoreRd--MadhuPetrolBunkJunction,Critical,True,None,2024-01-13 02:01:27,2024-01-13 02:23:23
Vehicle Breakdown,Breakdown,12.9155753,77.5652999,ORR West 1,South Zone,Banashankari Traffic PS,KadirenahalliJunction,High,False,Bus,2024-01-13 02:13:22,2024-01-13 02:19:48
Vehicle Breakdown,Breakdown,12.9379619,77.6939433,ORR East 1,East Zone,HAL Old Airport Traffic PS,Kadubeesanahalli-ORR Junc,High,False,Bus,2024-01-13 02:21:42,2024-01-13 02:42:32
Vehicle Breakdown,Breakdown,12.9662664,77.6069727,Mysore Road,Central Zone,Ashok Nagar Traffic PS,Ashoknagar Junction(ShoolayCircle),High,False,LCV,2024-01-13 04:24:19,2024-01-13 05:00:44
Other,Other,12.98681,77.5190466,Magadi Road,West Zone,Kamakshipalya Traffic PS,Sumanhalli,High,False,None,2024-01-13 05:16:17,2024-01-13 07:37:14
Vehicle Breakdown,Breakdown,12.9247775,77.6278985,Other Corridor,South Zone,Adugodi Traffic PS,Krupanidhi College,Low,False,Bus,2024-01-13 05:37:45,2024-01-13 07:05:50
Vehicle Breakdown,Breakdown,12.9437406,77.5970757,Other Corridor,Central Zone,Wilson Garden Traffic PS,WilsonGarden12thCrossJunc,Low,False,Other,2024-01-13 05:41:37,2024-01-13 05:48:18
Other,Other,12.9793575,77.6021795,Old Madras Road,Central Zone,Shivajinagar Traffic PS,Shivajinagar(BRV)Junction,High,False,None,2024-01-13 07:39:43,2024-01-13 08:55:39
Vehicle Breakdown,Breakdown,13.0141331,77.5674081,Tumkur Road,West Zone,Sadashivanagar Traffic PS,TataInstituteCircle,Critical,True,Other,2024-01-13 09:42:50,2024-01-13 09:58:41
Road Repair,Construction,12.9569897,77.7014448,Varthur Road,East Zone,HAL Old Airport Traffic PS,MaratahalliBridgeJunc,Critical,True,None,2024-01-13 11:33:06,2024-01-13 17:05:46
Vehicle Breakdown,Breakdown,13.0185596,77.5553194,Tumkur Road,West Zone,Sheshadripuram Traffic PS,TumkurRdMarappanapalyaJunc,Low,False,Bus,2024-01-13 22:53:46,2024-01-14 00:00:06
Vehicle Breakdown,Breakdown,13.0305207,77.537139,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,GokuldasImagesJunc,High,False,Car,2024-01-14 00:08:56,2024-01-14 00:37:37
Road Repair,Potholes,12.98078,77.5499367,West of Chord Road,West Zone,Magadi Road Traffic PS,Fire Force Junction,High,False,None,2024-01-14 00:11:50,2024-01-14 00:39:31
Vehicle Breakdown,Breakdown,13.1219388,77.6109778,Bellary Road 2,North Zone,Yelahanka Traffic PS,BagalurCrossJunc,High,False,Truck,2024-01-14 03:42:40,2024-01-14 04:57:29
Vehicle Breakdown,Breakdown,13.013325,77.6623533,ORR North 1,East Zone,Banaswadi Traffic PS,RamamurthyNagarJunction,High,False,Bus,2024-01-14 04:57:19,2024-01-14 06:09:06
Other,Other,12.9793433,77.602175,Old Madras Road,Central Zone,Shivajinagar Traffic PS,Shivajinagar(BRV)Junction,High,False,None,2024-01-14 05:06:38,2024-01-14 06:13:31
Vehicle Breakdown,Breakdown,12.9603511,77.5717869,Other Corridor,Central Zone,V.V.Puram (C.Pet) Traffic PS,MintoJunction,Low,False,Bus,2024-01-14 05:48:09,2024-01-14 06:18:26
Vehicle Breakdown,Breakdown,12.9866029,77.5794639,Other Corridor,Central Zone,High ground Traffic PS,ShivandaCircle,Low,False,Bus,2024-01-14 06:32:33,2024-01-14 08:14:30
Vehicle Breakdown,Breakdown,12.9604521,77.5048389,Other Corridor,West Zone,Jnanabharathi Traffic PS,Ring road-Near Kengunte Junction,Low,False,Bus,2024-01-14 06:51:45,2024-01-14 08:56:58
Vehicle Breakdown,Breakdown,13.0179323,77.5592053,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,YeshwanthpuraCircle,High,False,LCV,2024-01-14 07:28:36,2024-01-14 07:38:02
Accident,Accident,13.0356634,77.5264227,Tumkur Road,West Zone,Peenya Traffic PS,SRS Peenya Junc,High,False,None,2024-01-14 17:05:07,2024-01-14 17:54:48
Vehicle Breakdown,Breakdown,13.013048,77.5676395,Tumkur Road,West Zone,Sadashivanagar Traffic PS,TataInstituteCircle,High,False,LCV,2024-01-14 19:12:11,2024-01-14 20:01:54
